2023-04-18 10:11:46.540 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2023-04-18 10:11:46.551 [main] INFO  com.example.wechat.WeChatApplication - Starting WeChatApplication on jinfulai-pc with PID 20704 (D:\project\work\test\WeChat\WeChat\target\classes started by admin in D:\project\work\test\WeChat\WeChat)
2023-04-18 10:11:46.551 [main] INFO  com.example.wechat.WeChatApplication - No active profile set, falling back to default profiles: default
2023-04-18 10:11:47.414 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8820 (http)
2023-04-18 10:11:47.422 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8820"]
2023-04-18 10:11:47.422 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-18 10:11:47.422 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2023-04-18 10:11:47.472 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-18 10:11:47.472 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 894 ms
2023-04-18 10:11:47.921 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-18 10:11:48.151 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8820"]
2023-04-18 10:11:48.197 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8820 (http) with context path ''
2023-04-18 10:11:48.203 [main] INFO  com.example.wechat.WeChatApplication - Started WeChatApplication in 1.998 seconds (JVM running for 2.511)
2023-04-18 10:12:11.475 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
